Date,Description,Check#,Category,Currency,Amount,Balance
2022-06-04T07:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-938,
2022-06-04T07:00:00.000Z,Lampshade & Lace Antiques,,,,-60000,
2022-06-05T07:00:00.000Z,Celestial Sundries,,,,-364,
2022-06-05T07:00:00.000Z,Narnia Novelties,,,,-21785,
2022-06-06T07:00:00.000Z,Stardust Supplies,,,,-1331,
2022-06-06T07:00:00.000Z,Retro Soda Fountain,,,,-1588,
2022-06-06T07:00:00.000Z,Phoenix Antiques,,,,-2177,
2022-06-06T07:00:00.000Z,Steam-Powered Curiosities,,,,-2602,
2022-06-06T07:00:00.000Z,Ethereal Elegance,,,,-39,
2022-06-06T07:00:00.000Z,Vintage Millinery,,,,-24,
2022-06-07T07:00:00.000Z,Elven Emporium,,,,-8953,
2022-06-07T07:00:00.000Z,Steampunk Sundries,,,,-10000,
2022-06-07T07:00:00.000Z,Labyrinth Books,,,,-548,
2022-06-08T07:00:00.000Z,The Crystal Radio Emporium,,,,-2028,
2022-06-09T07:00:00.000Z,Spellbound Stationery,,,,-8200,
2022-06-09T07:00:00.000Z,Gilded Gramophone Records,,,,-920,
2022-06-09T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-1336,
2022-06-09T07:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-3637,
2022-06-10T07:00:00.000Z,Vintage Millinery,,,,-100,
2022-06-11T07:00:00.000Z,Goblin Gadgets,,,,-839,
2022-06-11T07:00:00.000Z,Pixie Potions,,,,-2329,
2022-06-12T07:00:00.000Z,Cosmic Curiosities,,,,-6200,
2022-06-12T07:00:00.000Z,Stardust Supplies,,,,-445,
2022-06-12T07:00:00.000Z,Cobblestone Apothecary,,,,-475,
2022-06-12T07:00:00.000Z,Pixie Potions,,,,-1637,
2022-06-12T07:00:00.000Z,The Vaudeville Variety Store,,,,-2809,
2022-06-13T07:00:00.000Z,Arcane Alchemy,,,,-100,
2022-06-13T07:00:00.000Z,Ethereal Elegance,,,,-459,
2022-06-13T07:00:00.000Z,Mermaid Market,,,,25000,
2022-06-13T07:00:00.000Z,Gryffin Goods,,,,-195,
2022-06-13T07:00:00.000Z,Mermaid Market,,,,-475,
2022-06-13T07:00:00.000Z,Atlantis Artifacts,,,,-450,
2022-06-15T07:00:00.000Z,The Vaudeville Variety Store,,,,-19970,
2022-06-15T07:00:00.000Z,Sorcerer’s Surplus,,,,-922,
2022-06-17T07:00:00.000Z,The Vaudeville Variety Store,,,,-997,
2022-06-17T07:00:00.000Z,Vintage Perfumery,,,,-1297,
2022-06-18T07:00:00.000Z,Cobblestone Apothecary,,,,-1829,
2022-06-18T07:00:00.000Z,The Cobbler’s Corner,,,,-4096,
2022-06-18T07:00:00.000Z,Tin-Type Photography Studio,,,,-2050,
2022-06-18T07:00:00.000Z,Vintage Millinery,,,,-8258,
2022-06-19T07:00:00.000Z,Phoenix Antiques,,,,-6431,
2022-06-19T07:00:00.000Z,Starship Salvage,,,,-1103,
2022-06-19T07:00:00.000Z,Dragon’s Den,,,,-12552,
2022-06-19T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-548,
2022-06-20T07:00:00.000Z,Art Nouveau Gallery,,,,-364,
2022-06-20T07:00:00.000Z,Art Nouveau Gallery,,,,-840,
2022-06-20T07:00:00.000Z,Wonderland Workshop,,,,-4421,
2022-06-21T07:00:00.000Z,Lampshade & Lace Antiques,,,,9000,
2022-06-21T07:00:00.000Z,Cosmic Curiosities,,,,-1608,
2022-06-21T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-824,
2022-06-21T07:00:00.000Z,Vintage Millinery,,,,-1119,
2022-06-21T07:00:00.000Z,Sorcerer’s Surplus,,,,-1540,
2022-06-22T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-609,
2022-06-23T07:00:00.000Z,Ethereal Elegance,,,,-728,
2022-06-23T07:00:00.000Z,The Penny Candy Shoppe,,,,-807,
2022-06-23T07:00:00.000Z,Goblin Gadgets,,,,-2531,
2022-06-23T07:00:00.000Z,Victrola Phonograph Parlor,,,,-7800,
2022-06-24T07:00:00.000Z,Arcane Alchemy,,,,-1852,
2022-06-24T07:00:00.000Z,Art Nouveau Gallery,,,,-2030,
2022-06-25T07:00:00.000Z,The Carousel Toy Shop,,,,-1299,
2022-06-25T07:00:00.000Z,Stardust Supplies,,,,-1599,
2022-06-25T07:00:00.000Z,The Carousel Toy Shop,,,,-8584,
2022-06-25T07:00:00.000Z,Antique Gramophone Records,,,,-891,
2022-06-26T07:00:00.000Z,The Gramophone Emporium,,,,-3744,
2022-06-26T07:00:00.000Z,Antique Gramophone Records,,,,-1428,
2022-06-26T07:00:00.000Z,Steampunk Sundries,,,,-1297,
2022-06-27T07:00:00.000Z,Mystic Market,,,,-1282,
2022-06-27T07:00:00.000Z,Antique Gramophone Records,,,,-999,
2022-06-27T07:00:00.000Z,Mythical Merchants,,,,-2977,
2022-06-28T07:00:00.000Z,Vintage Perfumery,,,,-15052,
2022-06-28T07:00:00.000Z,Antique Gramophone Records,,,,-997,
2022-06-28T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-1457,
2022-06-28T07:00:00.000Z,Tin-Type Photography Studio,,,,-309,
2022-06-29T07:00:00.000Z,Enchanted Emporium,,,,-997,
2022-06-29T07:00:00.000Z,Dragon’s Den,,,,141652,
2022-06-29T07:00:00.000Z,Ethereal Elegance,,,,-99,
2022-06-29T07:00:00.000Z,Dreamweaver’s Delights,,,,-1500,
2022-06-30T07:00:00.000Z,Victrola Phonograph Parlor,,,,-1103,
2022-06-30T07:00:00.000Z,The Crystal Radio Emporium,,,,-3741,
2022-07-01T07:00:00.000Z,The Penny Candy Shoppe,,,,-997,
2022-07-01T07:00:00.000Z,The Brass Lantern Bookstore,,,,-241500,
2022-07-01T07:00:00.000Z,Mystic Market,,,,-1000,
2022-07-01T07:00:00.000Z,The Penny Candy Shoppe,,,,-1500,
2022-07-02T07:00:00.000Z,Gryffin Goods,,,,-1593,
2022-07-02T07:00:00.000Z,Arcane Alchemy,,,,-688,
2022-07-03T07:00:00.000Z,Stardust Supplies,,,,-8706,
2022-07-03T07:00:00.000Z,The Edison Electric Emporium,,,,-2044,
2022-07-04T07:00:00.000Z,The Crystal Radio Emporium,,,,-8893,
2022-07-04T07:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-3548,
2022-07-04T07:00:00.000Z,Wonderland Workshop,,,,-950,
2022-07-04T07:00:00.000Z,The Edison Electric Emporium,,,,-1333,
2022-07-04T07:00:00.000Z,Mythical Merchants,,,,-3614,
2022-07-04T07:00:00.000Z,Dragon’s Den,,,,-13979,
2022-07-05T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-331,
2022-07-05T07:00:00.000Z,Enchanted Emporium,,,,-475,
2022-07-05T07:00:00.000Z,Enchanted Emporium,,,,-737,
2022-07-06T07:00:00.000Z,Pandora’s Pantry,,,,-8200,
2022-07-06T07:00:00.000Z,Gilded Gramophone Records,,,,-1282,
2022-07-06T07:00:00.000Z,Lampshade & Lace Antiques,,,,-1593,
2022-07-07T07:00:00.000Z,Art Nouveau Gallery,,,,1500,
2022-07-07T07:00:00.000Z,Witch’s Wardrobe,,,,-100,
2022-07-07T07:00:00.000Z,Gilded Gramophone Records,,,,-499,
2022-07-07T07:00:00.000Z,The Carousel Toy Shop,,,,-930,
2022-07-07T07:00:00.000Z,Labyrinth Books,,,,-3021,
2022-07-08T07:00:00.000Z,Vintage Perfumery,,,,-394,
2022-07-08T07:00:00.000Z,The Brass Lantern Bookstore,,,,-509,
2022-07-08T07:00:00.000Z,Dreamweaver’s Delights,,,,-808,
2022-07-09T07:00:00.000Z,Timeless Treasures,,,,-208,
2022-07-09T07:00:00.000Z,Vintage Perfumery,,,,-1073,
2022-07-09T07:00:00.000Z,Retro Soda Fountain,,,,-458,
2022-07-10T07:00:00.000Z,Tin-Type Photography Studio,,,,-364,
2022-07-10T07:00:00.000Z,Retro Soda Fountain,,,,-1568,
2022-07-11T07:00:00.000Z,Grandfather’s Haberdashery,,,,-509,
2022-07-11T07:00:00.000Z,Phoenix Antiques,,,,-2404,
2022-07-11T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-2977,
2022-07-11T07:00:00.000Z,The Brass Lantern Bookstore,,,,-812,
2022-07-12T07:00:00.000Z,Cobblestone Apothecary,,,,-509,
2022-07-12T07:00:00.000Z,Pixie Potions,,,,-1540,
2022-07-13T07:00:00.000Z,The Brass Lantern Bookstore,,,,-1024,
2022-07-13T07:00:00.000Z,Pandora’s Pantry,,,,-208,
2022-07-14T07:00:00.000Z,The Crystal Radio Emporium,,,,-1000,
2022-07-14T07:00:00.000Z,Witch’s Wardrobe,,,,-9195,
2022-07-14T07:00:00.000Z,Retro Soda Fountain,,,,114115,
2022-07-14T07:00:00.000Z,Steampunk Sundries,,,,-1103,
2022-07-15T07:00:00.000Z,Cosmic Curiosities,,,,-364,
2022-07-15T07:00:00.000Z,Gilded Gramophone Records,,,,-6434,
2022-07-15T07:00:00.000Z,Ethereal Elegance,,,,-10012,
2022-07-15T07:00:00.000Z,Cosmic Curiosities,,,,-410,
2022-07-16T07:00:00.000Z,Tin-Type Photography Studio,,,,-2508,
2022-07-16T07:00:00.000Z,Enchanted Emporium,,,,-3045,
2022-07-16T07:00:00.000Z,The Ticker-Tape Typewriter,,,,-3762,
2022-07-17T07:00:00.000Z,Ethereal Elegance,,,,-759,
2022-07-17T07:00:00.000Z,The Crystal Radio Emporium,,,,-208,
2022-07-18T07:00:00.000Z,Fable Finds,,,,-509,
2022-07-18T07:00:00.000Z,Dragon’s Den,,,,-2050,
2022-07-18T07:00:00.000Z,The Jazz Age Jazz Club,,,,-6200,
2022-07-19T07:00:00.000Z,Starship Salvage,,,,3333,
2022-07-19T07:00:00.000Z,The Vaudeville Variety Store,,,,-100,
2022-07-19T07:00:00.000Z,The Carousel Toy Shop,,,,-509,
2022-07-19T07:00:00.000Z,Arcane Alchemy,,,,-31835,
2022-07-19T07:00:00.000Z,The Velvet Emporium,,,,-15000,
2022-07-20T07:00:00.000Z,The Cobbler’s Corner,,,,-509,
2022-07-20T07:00:00.000Z,Lampshade & Lace Antiques,,,,-1270,
2022-07-20T07:00:00.000Z,Pandora’s Pantry,,,,-3746,
2022-07-20T07:00:00.000Z,Ethereal Elegance,,,,-11006,
2022-07-21T07:00:00.000Z,Gryffin Goods,,,,-1793,
2022-07-21T07:00:00.000Z,Dapper Gentleman’s Outfitters,,,,-2285,
2022-07-21T07:00:00.000Z,The Cobbler’s Corner,,,,-4144,
2022-07-22T07:00:00.000Z,Belle Époque Boutique,,,,-578,
2022-07-23T07:00:00.000Z,Gryffin Goods,,,,-807,
2022-07-23T07:00:00.000Z,Pandora’s Pantry,,,,-1282,
2022-07-24T07:00:00.000Z,Art Nouveau Gallery,,,,-1680,
2022-07-24T07:00:00.000Z,Phoenix Antiques,,,,-8708,
2022-07-25T07:00:00.000Z,Silhouette Portrait Studio,,,,122623,
2022-07-25T07:00:00.000Z,Mythical Merchants,,,,-633,
2022-07-25T07:00:00.000Z,The Cobbler’s Corner,,,,-1700,
2022-07-26T07:00:00.000Z,Retro Soda Fountain,,,,-633,
2022-07-26T07:00:00.000Z,Fable Finds,,,,-777,
2022-07-26T07:00:00.000Z,The Edison Electric Emporium,,,,-1599,
2022-07-26T07:00:00.000Z,Fable Finds,,,,-4363,
2022-07-26T07:00:00.000Z,Sorcerer’s Surplus,,,,-6000,
2022-07-27T07:00:00.000Z,Whimsical Wares,,,,-568,
2022-07-27T07:00:00.000Z,Pandora’s Pantry,,,,-999,
2022-07-27T07:00:00.000Z,Mythical Merchants,,,,-1282,
2022-07-28T07:00:00.000Z,Whimsical Wares,,,,-14971,
2022-07-28T07:00:00.000Z,Pixie Potions,,,,-663,
2022-07-28T07:00:00.000Z,Pandora’s Pantry,,,,175955,
2022-07-28T07:00:00.000Z,Atlantis Artifacts,,,,-1622,
2022-07-28T07:00:00.000Z,Arcane Alchemy,,,,-208,
2022-07-29T07:00:00.000Z,Cosmic Curiosities,,,,-509,
2022-07-29T07:00:00.000Z,Victrola Phonograph Parlor,,,,-208,
2022-07-29T07:00:00.000Z,Silhouette Portrait Studio,,,,-99,
2022-07-29T07:00:00.000Z,Goblin Gadgets,,,,-4478,
2022-07-29T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-5347,
2022-07-29T07:00:00.000Z,Lampshade & Lace Antiques,,,,-518,
2022-07-30T07:00:00.000Z,Arcane Alchemy,,,,-2708,
2022-07-30T07:00:00.000Z,Grandfather’s Haberdashery,,,,-633,
2022-07-30T07:00:00.000Z,Cosmic Curiosities,,,,-1680,
2022-07-31T07:00:00.000Z,Whimsical Wares,,,,-309,
2022-07-31T07:00:00.000Z,Witch’s Wardrobe,,,,-5396,
2022-07-31T07:00:00.000Z,Lampshade & Lace Antiques,,,,-1829,
2022-07-31T07:00:00.000Z,Dreamweaver’s Delights,,,,-7256,
2022-08-01T07:00:00.000Z,Witch’s Wardrobe,,,,-718,
2022-08-01T07:00:00.000Z,Whimsical Wares,,,,-13673,
2022-08-01T07:00:00.000Z,Fable Finds,,,,-364,
2022-08-01T07:00:00.000Z,Atlantis Artifacts,,,,-364,
2022-08-01T07:00:00.000Z,Steam-Powered Curiosities,,,,-920,
2022-08-01T07:00:00.000Z,Witch’s Wardrobe,,,,-70500,
2022-08-02T07:00:00.000Z,The Pocket Watch Repair Shop,,,,6477,
2022-08-02T07:00:00.000Z,The Penny Candy Shoppe,,,,-4068,
2022-08-02T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-364,
2022-08-02T07:00:00.000Z,Lampshade & Lace Antiques,,,,-3950,
2022-08-03T07:00:00.000Z,Atlantis Artifacts,,,,-394,
2022-08-03T07:00:00.000Z,Witch’s Wardrobe,,,,-3654,
2022-08-04T07:00:00.000Z,The Gramophone Emporium,,,,-509,
2022-08-05T07:00:00.000Z,Phoenix Antiques,,,,-509,
2022-08-06T07:00:00.000Z,Elven Emporium,,,,-8241,
2022-08-06T07:00:00.000Z,Dragon’s Den,,,,-1937,
2022-08-06T07:00:00.000Z,The Jazz Age Jazz Club,,,,-8200,
2022-08-07T07:00:00.000Z,Fairy Tale Fabrics,,,,-309,
2022-08-07T07:00:00.000Z,Cobblestone Apothecary,,,,-100,
2022-08-07T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-4412,
2022-08-08T07:00:00.000Z,Timeless Treasures,,,,-920,
2022-08-09T07:00:00.000Z,Elven Emporium,,,,-509,
2022-08-09T07:00:00.000Z,Whimsical Wares,,,,-2050,
2022-08-09T07:00:00.000Z,Vintage Perfumery,,,,-1087,
2022-08-10T07:00:00.000Z,Cosmic Curiosities,,,,-394,
2022-08-10T07:00:00.000Z,Vintage Millinery,,,,-4350,
2022-08-10T07:00:00.000Z,Retro Soda Fountain,,,,-4423,
2022-08-11T07:00:00.000Z,The Edison Electric Emporium,,,,115612,
2022-08-11T07:00:00.000Z,Celestial Sundries,,,,-663,
2022-08-11T07:00:00.000Z,Victorian Tea Parlor,,,,-1130,
2022-08-11T07:00:00.000Z,Sorcerer’s Surplus,,,,-7765,
2022-08-12T07:00:00.000Z,Retro Soda Fountain,,,,-778,
2022-08-13T07:00:00.000Z,The Prohibition Speakeasy,,,,-208,
2022-08-14T07:00:00.000Z,Lampshade & Lace Antiques,,,,-1208,
2022-08-15T07:00:00.000Z,Vintage Millinery,,,,52200,
2022-08-15T07:00:00.000Z,Sorcerer’s Surplus,,,,-608,
2022-08-16T07:00:00.000Z,The Pocket Watch Repair Shop,,,,-633,
2022-08-16T07:00:00.000Z,Pixie Potions,,,,-1599,
2022-08-16T07:00:00.000Z,Steampunk Sundries,,,,-4762,
2022-08-17T07:00:00.000Z,Dreamweaver’s Delights,,,,-16227,
2022-08-17T07:00:00.000Z,Vintage Perfumery,,,,-2714,
2022-08-17T07:00:00.000Z,Arcane Alchemy,,,,-768,
2022-08-18T07:00:00.000Z,The Brass Lantern Bookstore,,,,-3151,
2022-08-18T07:00:00.000Z,Labyrinth Books,,,,-1028,
2022-08-18T07:00:00.000Z,The Edison Electric Emporium,,,,-1282,
2022-08-18T07:00:00.000Z,The Crystal Radio Emporium,,,,-7616,
2022-08-18T07:00:00.000Z,Ethereal Elegance,,,,-2243,
2022-08-19T07:00:00.000Z,Steam-Powered Curiosities,,,,-778,
2022-08-20T07:00:00.000Z,Spellbound Stationery,,,,-278,
2022-08-20T07:00:00.000Z,Sorcerer’s Surplus,,,,-1281,
2022-08-20T07:00:00.000Z,Fairy Tale Fabrics,,,,-2808,
2022-08-20T07:00:00.000Z,Vintage Perfumery,,,,-3426,
2022-08-20T07:00:00.000Z,Sorcerer’s Surplus,,,,-508,
2022-08-21T07:00:00.000Z,Gryffin Goods,,,,3635,
2022-08-21T07:00:00.000Z,Belle Époque Boutique,,,,-509,
2022-08-22T07:00:00.000Z,Belle Époque Boutique,,,,3700,
2022-08-22T07:00:00.000Z,The Crystal Radio Emporium,,,,-509,
2022-08-23T07:00:00.000Z,Labyrinth Books,,,,16084,
2022-08-23T07:00:00.000Z,Spellbound Stationery,,,,-16300,
2022-08-23T07:00:00.000Z,Dragon’s Den,,,,-663,
2022-08-23T07:00:00.000Z,Timeless Treasures,,,,-807,
2022-08-23T07:00:00.000Z,Vintage Millinery,,,,-1148,
2022-08-23T07:00:00.000Z,Pixie Potions,,,,-2961,
2022-08-23T07:00:00.000Z,Steam-Powered Curiosities,,,,-16622,
2022-08-24T07:00:00.000Z,Lampshade & Lace Antiques,,,,-663,
2022-08-24T07:00:00.000Z,Grandfather’s Haberdashery,,,,-4729,
2022-08-24T07:00:00.000Z,Retro Soda Fountain,,,,-1313,
2022-08-24T07:00:00.000Z,The Edison Electric Emporium,,,,-523,
2022-08-25T07:00:00.000Z,Goblin Gadgets,,,,188179,
2022-08-25T07:00:00.000Z,Sorcerer’s Surplus,,,,-663,
2022-08-26T07:00:00.000Z,Celestial Sundries,,,,-509,
2022-08-26T07:00:00.000Z,Vintage Perfumery,,,,-1800,
2022-08-26T07:00:00.000Z,Timeless Treasures,,,,-8060,
2022-08-27T07:00:00.000Z,Goblin Gadgets,,,,-999,
2022-08-27T07:00:00.000Z,Cosmic Curiosities,,,,-999,
2022-08-27T07:00:00.000Z,Whimsical Wares,,,,-13473,
2022-08-27T07:00:00.000Z,Atlantis Artifacts,,,,-1347,
2022-08-27T07:00:00.000Z,Mystic Market,,,,-1362,
2022-08-28T07:00:00.000Z,Wonderland Workshop,,,,-14971,
2022-08-28T07:00:00.000Z,Goblin Gadgets,,,,-6200,
2022-08-28T07:00:00.000Z,Retro Soda Fountain,,,,-839,
2022-08-28T07:00:00.000Z,Spellbound Stationery,,,,-4683,
2022-08-29T07:00:00.000Z,The Crystal Radio Emporium,,,,-100,
2022-08-29T07:00:00.000Z,Witch’s Wardrobe,,,,-509,
2022-08-29T07:00:00.000Z,Pixie Potions,,,,-99,
2022-08-29T07:00:00.000Z,Labyrinth Books,,,,-920,
2022-08-29T07:00:00.000Z,Elven Emporium,,,,-1220,
2022-08-29T07:00:00.000Z,The Penny Candy Shoppe,,,,-1442,
2022-08-30T07:00:00.000Z,Pixie Potions,,,,-847,
2022-08-30T07:00:00.000Z,Pandora’s Pantry,,,,-545,
2022-08-30T07:00:00.000Z,Mystic Market,,,,-2395,
2022-08-30T07:00:00.000Z,Sorcerer’s Surplus,,,,-1647,
2022-08-31T07:00:00.000Z,Gilded Gramophone Records,,,,-104,
2022-08-31T07:00:00.000Z,Pandora’s Pantry,,,,-508,
2022-09-01T07:00:00.000Z,Victorian Tea Parlor,,,,-997,
2022-09-01T07:00:00.000Z,Antique Gramophone Records,,,,-1667,
2022-09-01T07:00:00.000Z,Lampshade & Lace Antiques,,,,-70500,
2022-09-02T07:00:00.000Z,Gilded Gramophone Records,,,,-997,
2022-09-02T07:00:00.000Z,Cosmic Curiosities,,,,-495,
2022-09-02T07:00:00.000Z,Gryffin Goods,,,,-2159,
2022-09-03T07:00:00.000Z,Lampshade & Lace Antiques,,,,-2995,
2022-09-04T07:00:00.000Z,Labyrinth Books,,,,-1353,
2022-09-04T07:00:00.000Z,Celestial Sundries,,,,-430,
2022-09-05T07:00:00.000Z,The Edison Electric Emporium,,,,-7322,
2022-09-05T07:00:00.000Z,Ethereal Elegance,,,,-643,
2022-09-05T07:00:00.000Z,Pandora’s Pantry,,,,-3810,
2022-09-05T07:00:00.000Z,The Penny Candy Shoppe,,,,-610,
2022-09-06T07:00:00.000Z,Timeless Treasures,,,,-394,
2022-09-06T07:00:00.000Z,Elven Emporium,,,,-1670,
2022-09-06T07:00:00.000Z,Celestial Sundries,,,,-2807,
2022-09-06T07:00:00.000Z,Labyrinth Books,,,,-299,
2022-09-06T07:00:00.000Z,Cobblestone Apothecary,,,,-3118,
2022-09-07T07:00:00.000Z,Cobblestone Apothecary,,,,120477,
2022-09-07T07:00:00.000Z,Art Nouveau Gallery,,,,-1283,
2022-09-07T07:00:00.000Z,Steam-Powered Curiosities,,,,-2378,
2022-09-07T07:00:00.000Z,The Vaudeville Variety Store,,,,-2499,
2022-09-07T07:00:00.000Z,Mystic Market,,,,-1594,
2022-09-08T07:00:00.000Z,Tin-Type Photography Studio,,,,-1399,
2022-09-09T07:00:00.000Z,Cosmic Curiosities,,,,2499,
2022-09-09T07:00:00.000Z,The Gramophone Emporium,,,,-5876,
2022-09-09T07:00:00.000Z,Steampunk Sundries,,,,-1523,
2022-09-10T07:00:00.000Z,Dreamweaver’s Delights,,,,-7691,
2022-09-10T07:00:00.000Z,Phoenix Antiques,,,,-2584,
2022-09-10T07:00:00.000Z,Belle Époque Boutique,,,,-8200,
2022-09-10T07:00:00.000Z,Silhouette Portrait Studio,,,,-549,
2022-09-11T07:00:00.000Z,Sorcerer’s Surplus,,,,-100,
2022-09-11T07:00:00.000Z,Antique Gramophone Records,,,,-4347,
2022-09-11T07:00:00.000Z,The Edison Electric Emporium,,,,-7069,
2022-09-12T07:00:00.000Z,Dragon’s Den,,,,-1422,
2022-09-12T07:00:00.000Z,Retro Soda Fountain,,,,-977,
2022-09-12T07:00:00.000Z,Vintage Millinery,,,,-2398,
2022-09-13T07:00:00.000Z,Grandfather’s Haberdashery,,,,9838,
2022-09-13T07:00:00.000Z,The Jazz Age Jazz Club,,,,-957,
2022-09-13T07:00:00.000Z,Starship Salvage,,,,-1708,
2022-09-14T07:00:00.000Z,Dreamweaver’s Delights,,,,-394,
2022-09-14T07:00:00.000Z,The Velvet Emporium,,,,-399,
2022-09-14T07:00:00.000Z,Witch’s Wardrobe,,,,-1400,
2022-09-14T07:00:00.000Z,Lampshade & Lace Antiques,,,,-3914,
2022-09-15T07:00:00.000Z,Witch’s Wardrobe,,,,-17456,
2022-09-15T07:00:00.000Z,Steam-Powered Curiosities,,,,-508,
2022-09-15T07:00:00.000Z,Witch’s Wardrobe,,,,-2219,
